	gene_name	zscore	effect_size	pval	mt_pval	phenotype	tissue	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_model	p_smr	p_heidi	coloc_prob4	coloc_prob3	p_twas
110	C9orf156	-4.88	-0.02	0.0000010	0.000036	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.36	1.0e-10	1.9e-9	27	29	0.00011	0.32	0.60	0.37	1.33680355254867e-8
111	RBM6	4.86	0.13	0.0000012	0.0000016	IBD.EUR.Ulcerative_Colitis	TW_Brain_Cerebellum_Elastic_Net_0.5	0.45	1.3e-14	2.1e-13	47	47	0.00011	0.048	1.3e-8	1.0	0.00000101532669469212
112	CWF19L1	-4.86	-0.03	0.0000012	0.0000097	GIANT_HEIGHT	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.28	6.2e-8	6.7e-7	16	18	0.000034	0.29	2.7e-7	1.0	1.46831924367475e-9
113	PRMT7	4.84	0.03	0.0000013	2.2e-37	GLGC_Mc_HDL	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.34	1.4e-10	2.3e-9	25	28	0.0013	0.23	0.0000012	1.0	3.18558185696861e-9
114	ZNF391	-4.79	-0.08	0.0000017	4.4e-23	pgc.scz2	TW_Brain_Cerebellum_Elastic_Net_0.5	0.33	3.1e-10	1.9e-9	25	25	0.00026	0.090	1.0e-8	1.0	2.73446197643168e-8
115	KNOP1	-4.78	-0.03	0.0000017	5.0e-9	GIANT_BMI_All_Ancestries	TW_Brain_Hypothalamus_Elastic_Net_0.5	0.35	7.5e-9	2.8e-7	42	45	0.000010	0.084	0.0000075	1.0	1.30326066875598e-8
116	CCDC88B	4.78	0.12	0.0000018	0.00020	IBD.EUR.Crohns_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.46	2.7e-15	5.0e-14	34	34	0.000012	0.65	0.96	0.039	6.32368296335541e-8
117	ERAP2	4.76	0.07	0.0000019	1.3e-7	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Hypothalamus_Elastic_Net_0.5	0.55	1.7e-15	5.2e-13	56	56	0.0000012	0.47	0.72	0.28	2.95674203646247e-8
118	KNOP1	-4.76	-0.03	0.0000019	5.0e-9	GIANT_BMI_All_Ancestries	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.43	1.0e-12	4.0e-11	11	11	0.0000044	0.15	2.3e-10	1.0	3.17997520532097e-9
119	EVI5	-4.74	-0.03	0.0000021	0.000046	GLGC_Mc_LDL	TW_Brain_Cortex_Elastic_Net_0.5	0.18	0.000013	0.000057	39	46	0.000044	0.45	0.92	0.070	2.34331692752165e-8
120	EVI5	-4.71	-0.02	0.0000025	1.9e-13	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.18	0.000013	0.000057	41	46	0.0000080	0.10	0.27	0.66	1.52055323109451e-11
121	DHFR	4.68	0.03	0.0000028	2.8e-8	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.45	1.1e-13	3.8e-12	34	38	0.0010	0.22	0.00010	1.0	2.51170314083212e-7
122	SULT1A2	4.67	0.07	0.0000030	1.6e-12	GIANT_BMI_All_Ancestries	TW_Brain_Cortex_Elastic_Net_0.5	0.16	0.000054	0.00020	22	27	0.0040	0.21	0.033	0.96	8.35127739795133e-16
123	KIAA0895L	4.65	0.07	0.0000033	1.6e-14	GLGC_Mc_HDL	TW_Brain_Cerebellum_Elastic_Net_0.5	0.058	0.014	0.012	31	37	0.00016	0.11	0.035	0.50	0.00000114547712177572
124	STMN3	-4.65	-0.21	0.0000033	0.0000013	IBD.EUR.Ulcerative_Colitis	TW_Brain_Cerebellum_Elastic_Net_0.5	0.23	4.1e-7	0.0000013	16	16	0.00016	0.53	0.0060	0.99	9.20564798550918e-7
125	MAPT	4.64	0.02	0.0000036	0.000016	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.27	1.4e-7	8.2e-7	25	27	0.00054	0.14	0.00048	1.0	1.76449281341933e-7
126	AFF1	-4.63	-0.03	0.0000036	6.0e-14	GLGC_Mc_TG	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.23	0.0000015	0.0000062	32	36	0.000067	0.0081	0.95	0.043	7.24073486102139e-11
127	GPX1	-4.60	-0.03	0.0000043	0.00035	SSGAC_Education_Years	TW_Brain_Cerebellum_Elastic_Net_0.5	0.23	2.3e-7	7.5e-7	35	46	0.000057	0.19	0.95	0.046	1.86256825479665e-7
128	INPP5E	-4.50	-0.13	0.0000067	0.00018	IBD.EUR.Ulcerative_Colitis	TW_Brain_Cerebellum_Elastic_Net_0.5	0.39	1.5e-12	1.6e-11	20	20	0.000037	0.026	0.000010	1.0	0.00000112336939949556
129	SURF1	-4.48	-0.03	0.0000074	6.6e-8	GLGC_Mc_LDL	TW_Brain_Cortex_Elastic_Net_0.5	0.49	2.8e-15	1.6e-13	55	67	0.0000084	0.037	0.00026	1.0	2.53566792248505e-7
130	CCDC163P	4.43	0.02	0.0000092	4.4e-7	GIANT_HEIGHT	TW_Brain_Frontal_Cortex_BA9_Elastic_Net_0.5	0.50	2.7e-15	2.1e-13	34	44	0.000082	0.0071	0.0000054	1.0	2.76781025232753e-7
131	FAM212A	-4.42	-0.13	0.0000097	9.8e-12	IBD.EUR.Crohns_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.31	1.1e-9	6.0e-9	37	37	0.0000032	0.00057	0.00038	1.0	9.50101342949802e-8
132	SMIM19	4.34	0.16	0.000015	0.00025	IBD.EUR.Crohns_Disease	TW_Brain_Cortex_Elastic_Net_0.5	0.26	1.3e-7	9.9e-7	27	27	0.00047	0.62	0.65	0.31	6.41950462572447e-7
133	CCDC163P	4.31	0.02	0.000016	4.4e-7	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.49	1.5e-15	9.4e-14	23	27	0.000069	0.0089	0.0000054	1.0	1.7444558620819e-7
134	ZSCAN31	-4.18	-0.06	0.000029	2.0e-23	pgc.scz2	TW_Brain_Cortex_Elastic_Net_0.5	0.37	4.9e-11	9.3e-10	43	43	3.8e-7	0.15	0.0000010	1.0	4.06323636005943e-10
135	CCDC88B	4.18	0.08	0.000029	0.0019	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cerebellum_Elastic_Net_0.5	0.46	2.7e-15	5.0e-14	34	34	0.000076	0.61	0.89	0.081	5.23742115855642e-7
136	CENPP	-4.16	-0.02	0.000031	8.5e-23	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.37	1.2e-11	9.8e-11	18	19	0.0000079	0.00096	2.8e-14	1.0	2.56349044674964e-8
137	FTSJ2	-4.13	-0.07	0.000036	0.000027	pgc.scz2	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.39	5.4e-11	7.7e-10	22	22	0.00058	0.78	0.0013	1.0	0.0000011641304515044
138	CYP2D6	-4.12	-0.05	0.000037	0.0000023	pgc.scz2	TW_Brain_Caudate_basal_ganglia_Elastic_Net_0.5	0.46	1.2e-14	5.8e-13	22	22	0.0000088	0.022	0.0030	1.0	4.33883739058684e-7
139	RBM6	4.10	0.12	0.000041	1.2e-10	IBD.EUR.Inflammatory_Bowel_Disease	TW_Brain_Cortex_Elastic_Net_0.5	0.19	0.000011	0.000052	20	20	0.000067	0.00077	0.00025	1.0	2.17570410242769e-9
140	CWF19L1	-4.04	-0.02	0.000054	0.0000097	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.31	3.5e-9	4.1e-8	38	41	0.000036	0.28	2.7e-7	1.0	4.08020421835772e-8
141	KNOP1	-4.00	-0.02	0.000063	5.0e-9	GIANT_BMI_All_Ancestries	TW_Brain_Cerebellum_Elastic_Net_0.5	0.37	1.1e-11	9.2e-11	11	11	0.0000038	0.10	2.2e-10	1.0	2.67304283768952e-7
142	FTSJ3	3.95	0.01	0.000079	1.0e-24	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.50	1.3e-14	5.0e-13	52	57	0.30	1.3e-8	2.6e-19	1.0	5.2030203556989e-7
143	TMEM241	-3.95	-0.03	0.000079	1.7e-15	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.19	0.0000081	0.000039	15	16	0.19	0.015	0.020	0.83	2.31876747449957e-10
144	RBM6	3.90	0.16	0.000097	1.4e-8	IBD.EUR.Crohns_Disease	TW_Brain_Cortex_Elastic_Net_0.5	0.19	0.000011	0.000052	20	20	0.00043	0.0070	0.00020	1.0	3.54522126966478e-7
145	TMCO6	3.85	0.06	0.00012	0.0000035	pgc.scz2	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.37	1.9e-10	2.4e-9	20	20	0.010	0.15	0.0033	0.97	5.79642608025793e-7
146	KNOP1	-3.81	-0.02	0.00014	5.0e-9	GIANT_BMI_All_Ancestries	TW_Brain_Cortex_Elastic_Net_0.5	0.39	7.7e-12	1.7e-10	8	8	0.000030	0.077	6.5e-11	1.0	3.23128487679392e-11
147	SURF1	-3.65	-0.03	0.00027	6.6e-8	GLGC_Mc_LDL	TW_Brain_Cerebellum_Elastic_Net_0.5	0.39	1.9e-12	2.0e-11	31	42	0.014	0.26	5.0e-11	1.0	1.75010184266907e-7
148	WFIKKN1	3.64	0.02	0.00027	5.2e-12	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.37	4.0e-11	7.8e-10	20	29	0.0000021	0.0019	3.4e-8	1.0	3.4395706496592e-9
149	FTSJ3	3.50	0.01	0.00047	1.0e-24	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.34	1.5e-10	9.6e-10	51	62	0.62	0.0038	1.9e-10	1.0	1.29707004951771e-7
150	C18orf8	-3.32	-0.02	0.00089	2.4e-33	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.21	0.0000012	0.0000035	30	33	0.0033	0.15	0.00068	1.0	1.4657612557992e-8
151	ADAL	-3.21	-0.03	0.0013	0.000038	GLGC_Mc_TG	TW_Brain_Cerebellum_Elastic_Net_0.5	0.32	3.9e-10	2.3e-9	12	14					5.53174485792675e-7
152	HEATR3	-3.20	-0.15	0.0014	0.000017	IBD.EUR.Crohns_Disease	TW_Brain_Nucleus_accumbens_basal_ganglia_Elastic_Net_0.5	0.27	8.2e-8	9.1e-7	16	16					2.20945629987458e-8
153	PLEC	3.15	0.01	0.0016	0.0000016	GIANT_HEIGHT	TW_Brain_Cerebellum_Elastic_Net_0.5	0.20	0.0000017	0.0000046	35	49					2.14749741228221e-7
154	CRLF3	-3.09	-0.02	0.0020	5.6e-22	GIANT_HEIGHT	TW_Brain_Cerebellar_Hemisphere_Elastic_Net_0.5	0.42	9.4e-12	1.6e-10	50	58					1.09781214091143e-9
155	ROR2	-3.00	-0.01	0.0027	1.9e-7	GIANT_HEIGHT	TW_Brain_Cortex_Elastic_Net_0.5	0.15	0.00011	0.00036	42	45					2.14905720452294e-8
